,Service,Rating,Hires,Price,Zip Code,Price Type,Services,Type,Segments,Implied Revenue
0,Second Growth Homes,,,,99801,,General Carpentry,Peripheral,Home Improvement,
1,All-Pro Contractors,5.0,276.0,,48226,,Gutter Repair,Peripheral,Home Improvement,
2,Foster Exp.,5.0,49.0,42.0,48226,hourly,Gutter Repair,Peripheral,Home Improvement,2058.0
3,B-Major Carpentry,4.5,12.0,75.0,48226,hourly,Gutter Repair,Peripheral,Home Improvement,900.0
4,Madison Property Services,4.5,12.0,80.0,48226,hourly,Gutter Repair,Peripheral,Home Improvement,960.0
5,LawnStarter Lawn Care,4.0,362.0,29.0,50309,,Lawn Mower Repair,Peripheral,Home Improvement,10498.0
6,Lawn Love Lawn Care,3.0,207.0,35.0,50309,,Lawn Mower Repair,Peripheral,Home Improvement,7245.0
7,MAC Exteriors,5.0,16.0,45.0,50309,,Lawn Mower Repair,Peripheral,Home Improvement,720.0
8,Morales landscape,5.0,5.0,,50309,,Lawn Mower Repair,Peripheral,Home Improvement,
9,Fresh Cut Lawn Care LLC,5.0,,35.0,50309,,Lawn Mower Repair,Peripheral,Home Improvement,
10,KR Property Management,5.0,17.0,,50309,,Lawn Mower Repair,Peripheral,Home Improvement,
11,Trusted Turf LLC,5.0,,40.0,50309,,Lawn Mower Repair,Peripheral,Home Improvement,
12,True Grit Lawn and Landscape LLC,4.5,46.0,20.0,50309,,Lawn Mower Repair,Peripheral,Home Improvement,920.0
13,A&D Roofing,5.0,116.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
14,Trusted Roofing LLC,5.0,16.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
15,TN Quality Roofing & Siding,5.0,27.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
16,Milliken's Roofing,5.0,87.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
17,DryTight Roofing,5.0,,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
18,Fredy Calixto,5.0,29.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
19,Clubhouse Roofing,5.0,4.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
20,"Professional Roofers, Inc.",5.0,,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
21,Expert Construction,5.0,49.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
22,"Romero's Roofing, LLC",5.0,39.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
23,EXTERIOR SOLUTIONS,5.0,21.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
24,Centennial Construction / JAM Events,5.0,3.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
25,Southern Comfort Home Improvement,4.5,2.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
26,"Showalter Roofing Service, Inc.",5.0,,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
27,"Pinnacle Roofs Plus, LLC",5.0,,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
28,Bunn's Roofing A General Partnership,4.5,52.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
29,"Marlin Exteriors, Inc.",5.0,3.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
30,Bone Dry Roofing,4.5,6.0,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
31,José ramirez painting,5.0,,,37219,,Roof Installation or Replacement,Peripheral,Home Improvement,
32,LawnStarter Lawn Care,4.0,362.0,29.0,46225,,Lawn Mower Repair,Peripheral,Home Improvement,10498.0
33,Lawn Love Lawn Care,3.0,207.0,35.0,46225,,Lawn Mower Repair,Peripheral,Home Improvement,7245.0
34,Day On A Lawn,4.0,72.0,35.0,46225,,Lawn Mower Repair,Peripheral,Home Improvement,2520.0
35,Dandridge Tree & Outdoor,5.0,,30.0,46225,,Lawn Mower Repair,Peripheral,Home Improvement,
36,MOE Renovations,5.0,,,46225,,Lawn Mower Repair,Peripheral,Home Improvement,
37,Salmerón lawn care,5.0,,36.0,46225,,Lawn Mower Repair,Peripheral,Home Improvement,
38,"The Grounds Guys of Carmel, IN",5.0,,35.0,46225,,Lawn Mower Repair,Peripheral,Home Improvement,
39,Summit Building & Roofing Company,4.5,90.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
40,Schottenstein Roofing,5.0,6.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
41,J. Riley Co. Roofing,5.0,42.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
42,Kase Roofing,5.0,19.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
43,Bone Dry Roofing,4.5,5.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
44,Midwest Roof Renovation II LLC,4.5,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
45,P.D.Q Roofing,5.0,18.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
46,Diyar Group,5.0,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
47,"Ohio's Best Home Improvement, Llc",5.0,4.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
48,Whitt roofing and Restoration,5.0,20.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
49,G Pro Exteriors,5.0,4.0,49.0,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,196.0
50,"Best Exteriors, Inc",5.0,20.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
51,Precision Seamless Gutters &Roofing,5.0,3.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
52,Ohio Roofing Solutions and Construction,4.0,160.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
53,CD Roofing Co,5.0,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
54,Fisher Roofing,4.0,4.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
55,"TRICH Roofing & Services, LLC",4.5,73.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
56,Legacy Exteriors,4.5,6.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
57,Supreme Exterior LLC,4.5,4.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
58,The Metal Roof Company,5.0,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
59,Target Roofing & Restoration,5.0,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
60,"Steep Master Roofing, LLC",4.5,10.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
61,M G Roof Restoration,,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
62,Feazel,4.0,8.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
63,Skyward Exterior Restoration,5.0,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
64,Haines Contracting,5.0,,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
65,Buckeye Building Solutions Ltd.,4.0,2.0,,43215,,Roof Installation or Replacement,Peripheral,Home Improvement,
66,🏡 J.P Cleaning Services 🏠,5.0,16.0,100.0,21401,,Hot Tub and Spa Repair,Peripheral,Home Improvement,1600.0
67,Bmore Cleaning & Junk Removal,5.0,139.0,120.0,21401,,Hot Tub and Spa Repair,Peripheral,Home Improvement,16680.0
68,KG Spotless Residential and Commercial Cleaning,4.5,344.0,130.0,21401,,Hot Tub and Spa Repair,Peripheral,Home Improvement,44720.0
69,TruBlu Innovative Solutions LLC,5.0,,,21401,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
70,Ruth bautista,,,,21401,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
71,Miriancleaner home,2.0,,,21401,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
72,One Home Cleaning,5.0,,125.0,21401,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
73,LawnStarter Lawn Care,4.0,330.0,29.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,9570.0
74,Sellnis Corp,5.0,24.0,40.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,960.0
75,MR. PRESTIGE LAWN CARE PERFECTIONIST,5.0,19.0,40.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,760.0
76,J & C Lawncare Services LLC,5.0,25.0,50.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,1250.0
77,Clutter Clips Lawn Care,5.0,10.0,33.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,330.0
78,Cardinal Landscapes,5.0,41.0,30.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,1230.0
79,Kings Lawn & Landscaping plus,4.5,111.0,30.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,3330.0
80,Sánchez landscaping,5.0,5.0,50.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,250.0
81,Preston Landscaping,4.5,45.0,,43215,,Lawn Mower Repair,Peripheral,Home Improvement,
82,All Seasons Grounds Keeping,4.5,251.0,35.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,8785.0
83,C.F. Lawncare,4.5,10.0,30.0,43215,,Lawn Mower Repair,Peripheral,Home Improvement,300.0
