,Segments,Services,Type,Service,Hires,Price,Price Type,Rating,Zip Code,Capital City,State,Abbreviation,Implied Revenue
0,Home Improvement,Brick or Stone Repair,Peripheral,"MSF Landscapes, Masonry, and Irrigation",49.0,,,4.5,2903,Providence,Rhode Island,RI,
1,Home Improvement,Brick or Stone Repair,Peripheral,Emi Ferreira Masonry,72.0,,,5.0,2903,Providence,Rhode Island,RI,
2,Home Improvement,Brick or Stone Repair,Peripheral,27 Newman St,,,,5.0,2903,Providence,Rhode Island,RI,
3,Home Improvement,Brick or Stone Repair,Peripheral,JFLANDSCAPING,,,,5.0,2903,Providence,Rhode Island,RI,
4,Home Improvement,Brick or Stone Repair,Peripheral,Leaves land scape inc.,4.0,,,3.5,2903,Providence,Rhode Island,RI,
5,Home Improvement,Brick or Stone Repair,Peripheral,Genesis Masonry Contracting,,,,4.5,2903,Providence,Rhode Island,RI,
6,Home Improvement,Brick or Stone Repair,Peripheral,Specialty construction LLC,2.0,,,5.0,2903,Providence,Rhode Island,RI,
7,Home Improvement,Brick or Stone Repair,Peripheral,New England Silva Stone Inc,2.0,,,5.0,2903,Providence,Rhode Island,RI,
8,Lessons,Reading and Writing Tutoring,Main,"Columbia Junior, Multiple Ivy Acceptances, ACT- 36",95.0,75.0,hour,5.0,84111,Salt Lake City,Utah,UT,7125.0
9,Lessons,Reading and Writing Tutoring,Main,Amikka Test Prep (Ivy Grad + No Contracts),335.0,60.0,hour,5.0,84111,Salt Lake City,Utah,UT,20100.0
10,Lessons,Reading and Writing Tutoring,Main,Harvard Grad/15 Yrs Exp: SAT/ACT/College Admission,60.0,495.0,hour,5.0,84111,Salt Lake City,Utah,UT,29700.0
11,Lessons,Reading and Writing Tutoring,Main,"My Education Connections, LLC",8.0,60.0,hour,5.0,84111,Salt Lake City,Utah,UT,480.0
12,Lessons,Reading and Writing Tutoring,Main,Authentic Tutoring Services,9.0,28.0,hour,5.0,84111,Salt Lake City,Utah,UT,252.0
13,Lessons,Reading and Writing Tutoring,Main,Good Hope Tutoring Services,23.0,50.0,hour,5.0,84111,Salt Lake City,Utah,UT,1150.0
14,Lessons,Reading and Writing Tutoring,Main,"Read Write Be Alright Tutoring, Special Needs",59.0,65.0,hour,5.0,84111,Salt Lake City,Utah,UT,3835.0
15,Lessons,Reading and Writing Tutoring,Main,Revolution SAT and ACT Prep,2.0,75.0,hour,5.0,84111,Salt Lake City,Utah,UT,150.0
