,Services,Type,Segments,ID
0,House Cleaning,Main,Home Improvement,1
1,Lawn Mowing and Trimming,Main,Home Improvement,2
2,Interior Design,Main,Home Improvement,3
3,Handyman,Main,Home Improvement,4
4,Roof Repair or Maintenance,Main,Home Improvement,5
5,General Contracting,Main,Home Improvement,6
6,Personal Training,Main,Wellness,7
7,Massage Therapy,Main,Wellness,8
8,Life Coaching,Main,Wellness,9
9,Private Yoga Instruction,Main,Wellness,10
10,Private Pilates Instruction,Main,Wellness,11
11,Nutritionist,Main,Wellness,12
12,Dog Walking,Main,Pets,13
13,Pet Sitting,Main,Pets,14
14,Aquarium Services,Main,Pets,15
15,Cat Grooming,Main,Pets,16
16,Statistical Data Analysis,Main,Business,17
17,Accounting,Main,Business,18
18,Corporate Law Attorney,Main,Business,19
19,Logo Design,Main,Business,20
20,Computer Repair,Main,Business,21
21,Business Tax Preparation,Main,Business,22
22,DJ,Main,Events,23
23,Wedding Officiant,Main,Events,24
24,Wedding and Event Catering,Main,Events,25
25,Wedding and Event Makeup,Main,Events,26
26,Photo Booth Rental,Main,Events,27
27,Bartending,Main,Events,28
28,Singing Lessons,Main,Lessons,29
29,Piano Lessons,Main,Lessons,30
30,Private Self Defense Lessons,Main,Lessons,31
31,Reading and Writing Tutoring,Main,Lessons,32
32,Math Tutoring,Main,Lessons,33
33,Private Yoga Instruction,Main,Lessons,34
34,Above Ground Swimming Pool Installation,Peripheral,Home Improvement,35
35,Air Quality and Environmental Testing,Peripheral,Home Improvement,36
36,Appliance Installation,Peripheral,Home Improvement,37
37,Appliance Repair or Maintenance,Peripheral,Home Improvement,38
38,Architectural Services,Peripheral,Home Improvement,39
39,Artificial Turf Installation,Peripheral,Home Improvement,40
40,Asbestos Removal,Peripheral,Home Improvement,41
41,Asphalt Installation,Peripheral,Home Improvement,42
42,Asphalt Repair and Maintenance,Peripheral,Home Improvement,43
43,Basement Finishing or Remodeling,Peripheral,Home Improvement,44
44,Bathroom Remodel,Peripheral,Home Improvement,45
45,Bed Bug Extermination,Peripheral,Home Improvement,46
46,Brick or Stone Repair,Peripheral,Home Improvement,47
47,Cabinet Installation,Peripheral,Home Improvement,48
48,Cabinet Painting,Peripheral,Home Improvement,49
49,Cabinet Refinishing and Repair,Peripheral,Home Improvement,50
50,Cabinetry,Peripheral,Home Improvement,51
51,Carpet Cleaning,Peripheral,Home Improvement,52
52,Carpet Installation,Peripheral,Home Improvement,53
53,Carpet Removal,Peripheral,Home Improvement,54
54,Carpet Repair or Partial Replacement,Peripheral,Home Improvement,55
55,Central Air Conditioning Installation or Replacement,Peripheral,Home Improvement,56
56,Central Air Conditioning Repair or Maintenance,Peripheral,Home Improvement,57
57,Circuit Breaker Panel or Fuse Box Installation,Peripheral,Home Improvement,58
58,Circuit Breaker Panel or Fuse Box Repair,Peripheral,Home Improvement,59
59,Closet Remodel,Peripheral,Home Improvement,60
60,Closet and Shelving System Installation,Peripheral,Home Improvement,61
61,Commercial Carpet Cleaning,Peripheral,Home Improvement,62
62,Commercial Cleaning,Peripheral,Home Improvement,63
63,Concrete Installation,Peripheral,Home Improvement,64
64,Concrete Removal,Peripheral,Home Improvement,65
65,Concrete Repair and Maintenance,Peripheral,Home Improvement,66
66,Construction Services,Peripheral,Home Improvement,67
67,Countertop Installation,Peripheral,Home Improvement,68
68,Countertop Repair or Maintenance,Peripheral,Home Improvement,69
69,Custom Cabinet Building,Peripheral,Home Improvement,70
70,Custom Furniture Building,Peripheral,Home Improvement,71
71,Deck Staining and Sealing,Peripheral,Home Improvement,72
72,Deck or Porch Remodel or Addition,Peripheral,Home Improvement,73
73,Deck or Porch Repair,Peripheral,Home Improvement,74
74,Demolition Services,Peripheral,Home Improvement,75
75,Dishwasher Installation,Peripheral,Home Improvement,76
76,Door Installation,Peripheral,Home Improvement,77
77,Door Repair,Peripheral,Home Improvement,78
78,Drywall Installation and Hanging,Peripheral,Home Improvement,79
79,Drywall Repair and Texturing,Peripheral,Home Improvement,80
80,Duct and Vent Cleaning,Peripheral,Home Improvement,81
81,Duct and Vent Installation or Removal,Peripheral,Home Improvement,82
82,Duct and Vent Repair,Peripheral,Home Improvement,83
83,Dumpster Rental,Peripheral,Home Improvement,84
84,Electrical and Wiring Repair,Peripheral,Home Improvement,85
85,Emergency Plumbing,Peripheral,Home Improvement,86
86,Engraving,Peripheral,Home Improvement,87
87,Epoxy Floor Coating,Peripheral,Home Improvement,88
88,Excavation Services,Peripheral,Home Improvement,89
