,Service,Zip Code,File Name,Status,Null,Services,To Do
0,1,36104,1_36104,True,False,House Cleaning,False
1,1,35210,1_35210,True,False,House Cleaning,False
2,1,99801,1_99801,False,True,House Cleaning,False
3,1,99501,1_99501,True,False,House Cleaning,False
4,1,85001,1_85001,True,False,House Cleaning,False
5,1,72201,1_72201,True,False,House Cleaning,False
6,1,95814,1_95814,True,False,House Cleaning,False
7,1,90013,1_90013,True,False,House Cleaning,False
8,1,92101,1_92101,True,False,House Cleaning,False
9,1,95112,1_95112,True,False,House Cleaning,False
10,1,94108,1_94108,True,False,House Cleaning,False
11,1,80202,1_80202,True,False,House Cleaning,False
12,1,06103,1_06103,True,False,House Cleaning,False
13,1,06604,1_06604,True,False,House Cleaning,False
14,1,19901,1_19901,True,False,House Cleaning,False
15,1,19850,1_19850,True,False,House Cleaning,False
16,1,32301,1_32301,True,False,House Cleaning,False
17,1,32202,1_32202,True,False,House Cleaning,False
18,1,33132,1_33132,True,False,House Cleaning,False
19,1,33602,1_33602,True,False,House Cleaning,False
20,1,30303,1_30303,True,False,House Cleaning,False
21,1,96813,1_96813,True,False,House Cleaning,False
22,1,83702,1_83702,True,False,House Cleaning,False
23,1,62701,1_62701,True,False,House Cleaning,False
24,1,60176,1_60176,True,False,House Cleaning,False
25,1,46225,1_46225,True,False,House Cleaning,False
26,1,50309,1_50309,True,False,House Cleaning,False
27,1,66603,1_66603,True,False,House Cleaning,False
28,1,67052,1_67052,True,False,House Cleaning,False
29,1,40601,1_40601,True,False,House Cleaning,False
30,1,40507,1_40507,True,False,House Cleaning,False
31,1,70802,1_70802,True,False,House Cleaning,False
32,1,70114,1_70114,True,False,House Cleaning,False
33,1,04330,1_04330,True,False,House Cleaning,False
34,1,04101,1_04101,True,False,House Cleaning,False
35,1,21401,1_21401,True,False,House Cleaning,False
36,1,21202,1_21202,True,False,House Cleaning,False
37,1,02201,1_02201,True,False,House Cleaning,False
38,1,48933,1_48933,True,False,House Cleaning,False
39,1,48226,1_48226,True,False,House Cleaning,False
40,1,55102,1_55102,True,False,House Cleaning,False
